fechaOperacion,fechaConcertacion,tipoOperacion,tipoModalidad,tipoOiv,grano,volumenTN,condicionCalidad,condicionCalidadAuxiliar,procedenciaProvincia,procedenciaLocalidad,simboloPrecioPorTN,precioTN,lugarEntrega,fechaEntregaDesde,fechaEntregaHasta,condicionPago,esDestinoFinal,cosecha,numeroOperacionInstancia,nroOperacion,esUltimaInstancia
2025-05-24T23:32:04.89,2025-05-24T00:00:00,Contrato,Compraventa,Fijar Precio/Prec. Cam.,MAIZ,90.00,Cámara,,CÓRDOBA,MARCOS JUAREZ,,,Rosario N/En destino,2025-05-24T00:00:00,2025-06-23T00:00:00,A plazo,SI,COSECHA 24/25,1,2487840257,Si
2025-05-24T23:32:00.777,2025-05-24T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,76.00,Cámara,,CÓRDOBA,GIGENA,,,Rosario N/En destino,2025-05-24T00:00:00,2025-06-23T00:00:00,A plazo,SI,COSECHA 24/25,1,2487830251,Si
2025-05-24T23:31:56.78,2025-05-24T00:00:00,Contrato,Compraventa,Fijar Precio/Prec. Cam.,MAIZ,500.00,Cámara,,SALTA,JOAQUIN V. GONZALEZ,,,Rosario N/En destino,2025-05-24T00:00:00,2025-06-22T00:00:00,A plazo,SI,COSECHA 24/25,1,2487820256,Si
2025-05-24T15:01:59.3,2025-05-24T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,30.69,Cámara,,CÓRDOBA,EL ARAÑADO,,,Rosario N/En destino,2025-05-24T00:00:00,2025-06-23T00:00:00,A plazo,SI,COSECHA 24/25,1,2487780254,Si
2025-05-24T13:45:57.35,2024-09-26T00:00:00,Fijación,Compraventa,Fijar Precio/Prec. Cam.,SOJA,200.00,Cámara,,BUENOS AIRES,NECOCHEA,U$S,279.50,Quequen/En destino,2024-10-01T00:00:00,2024-10-31T00:00:00,A plazo,NO,COSECHA 23/24,4,4621750246,Si
2025-05-24T12:26:18.2,2025-05-24T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,23.52,Cámara,,BUENOS AIRES,CARMEN DE ARECO,,,Zona 6/En destino,2025-05-24T00:00:00,2025-05-24T00:00:00,A plazo,SI,COSECHA 24/25,1,2487760253,Si
2025-05-24T12:24:45.903,2025-05-24T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,36.09,Cámara,,BUENOS AIRES,CARMEN DE ARECO,,,Zona 6/En destino,2025-05-24T00:00:00,2025-05-24T00:00:00,A plazo,SI,COSECHA 24/25,1,2487750258,Si
2025-05-24T12:01:21.323,2025-05-24T00:00:00,Contrato,Canje,Precio Hecho,MAIZ,12.68,Cámara,,ENTRE RÍOS,MARIA GRANDE PRIMERA,$,203000.00,Zona 18/En destino,2025-05-24T00:00:00,2025-05-24T00:00:00,A plazo,SI,COSECHA 24/25,1,2487640258,Si
2025-05-24T11:59:48.15,2025-05-24T00:00:00,Contrato,Canje,Precio Hecho,MAIZ,11.25,Cámara,,ENTRE RÍOS,MARIA GRANDE PRIMERA,$,235000.00,Zona 18/En destino,2025-05-24T00:00:00,2025-05-24T00:00:00,A plazo,SI,COSECHA 24/25,1,2487620257,Si
2025-05-24T11:57:42.4,2025-05-24T00:00:00,Contrato,Canje,Precio Hecho,SOJA,118.39,Cámara,,ENTRE RÍOS,CRUCESITAS 7A. SECCI,$,310000.00,Zona 18/En destino,2025-05-24T00:00:00,2025-05-24T00:00:00,A plazo,SI,COSECHA 24/25,1,2487610251,Si
