fechaOperacion,fechaConcertacion,tipoOperacion,tipoModalidad,tipoOiv,grano,volumenTN,condicionCalidad,condicionCalidadAuxiliar,procedenciaProvincia,procedenciaLocalidad,simboloPrecioPorTN,precioTN,lugarEntrega,fechaEntregaDesde,fechaEntregaHasta,condicionPago,esDestinoFinal,cosecha,numeroOperacionInstancia,nroOperacion,esUltimaInstancia
2025-05-10T23:32:06.3,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,150.00,Cámara,,CÓRDOBA,LUQUE,,,Rosario N/En destino,2025-05-10T00:00:00,2025-06-09T00:00:00,A plazo,SI,COSECHA 24/25,1,2112170254,Si
2025-05-10T23:32:03.133,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,35.00,Cámara,,CÓRDOBA,LA PAZ (DPTO. SAN JA,,,Rosario N/En destino,2025-05-10T00:00:00,2025-06-09T00:00:00,A plazo,SI,COSECHA 24/25,1,2112160259,Si
2025-05-10T23:31:59.943,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,70.00,Cámara,,BUENOS AIRES,SANTA REGINA,,,Rosario N/En destino,2025-05-10T00:00:00,2025-06-09T00:00:00,A plazo,SI,COSECHA 24/25,1,2112150253,Si
2025-05-10T23:31:56.83,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,30.00,Cámara,,BUENOS AIRES,GENERAL VILLEGAS,,,Zona 7/En destino,2025-05-10T00:00:00,2025-06-09T00:00:00,A plazo,SI,COSECHA 24/25,1,2112140258,Si
2025-05-10T17:32:52.387,2025-05-10T00:00:00,Contrato,Compraventa,Precio Hecho,MAIZ,30.00,Cámara,,BUENOS AIRES,CAPITAN SARMIENTO,$,205000.00,Bs As/En destino,2025-05-10T00:00:00,2025-05-16T00:00:00,A plazo,NO,COSECHA 24/25,1,2112120257,Si
2025-05-10T15:31:47.913,2025-05-10T00:00:00,Contrato,Compraventa,Precio Hecho,SOJA,52.68,Cámara,,ENTRE RÍOS,COSTA GRANDE,$,268000.00,Zona 13/En origen ,2025-05-10T00:00:00,2025-05-10T00:00:00,A plazo,NO,COSECHA 24/25,1,2112100256,Si
2025-05-10T15:01:53.217,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,85.00,Cámara,,LA PAMPA,BERNARDO LARROUDE,,,Rosario N/En destino,2025-05-10T00:00:00,2025-06-09T00:00:00,A plazo,SI,COSECHA 24/25,1,2112090250,Si
2025-05-10T14:00:22.793,2025-05-10T00:00:00,Contrato,Compraventa,Precio Hecho,TRIGO PAN,60.00,Art. 12,,BUENOS AIRES,CORONEL PRINGLES,$,195000.00,Bs As/En origen ,2025-05-10T00:00:00,2025-06-10T00:00:00,A plazo,SI,COSECHA 24/25,1,2112060254,Si
2025-05-10T13:57:59.62,2025-05-10T00:00:00,Contrato,Compraventa,Precio Hecho,TRIGO PAN,45.00,Cámara,,BUENOS AIRES,CORONEL PRINGLES,$,200000.00,Bs As/En origen ,2025-05-10T00:00:00,2025-06-10T00:00:00,A plazo,SI,COSECHA 24/25,1,2112050259,Si
2025-05-10T11:56:34.597,2025-05-10T00:00:00,Contrato,Compraventa,Precio Hecho,ACEITE SOJA,28.96,Crudo,,BUENOS AIRES,RAUCH,$,775.00,Zona 6/En destino,2025-05-10T00:00:00,2025-05-10T00:00:00,A plazo,SI,COSECHA 23/24,1,2111950256,Si
2025-05-10T11:46:49.323,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,60.00,Cámara,,BUENOS AIRES,MORSE,,,Zona 7/En destino,2025-05-10T00:00:00,2025-06-09T00:00:00,A plazo,SI,COSECHA 24/25,1,2111940250,Si
2025-05-10T10:38:39.75,2025-05-10T00:00:00,Contrato,Compraventa,Precio Hecho,MAIZ,750.00,Cámara,,SANTIAGO DEL ESTERO,LA PALOMA (CHILCA JU,$,175000.00,Zona 14/En origen ,2025-05-10T00:00:00,2025-05-30T00:00:00,A plazo,SI,COSECHA 23/24,1,2111030254,Si
2025-05-10T10:32:20.45,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,90.00,Cámara,,BUENOS AIRES,TRES ALGARROBOS,,,Rosario N/En destino,2025-05-12T00:00:00,2025-06-11T00:00:00,A plazo,SI,COSECHA 24/25,1,2111000258,Si
2025-05-10T10:32:17.477,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,90.00,Cámara,,BUENOS AIRES,TRES ALGARROBOS,,,Rosario N/En destino,2025-05-10T00:00:00,2025-06-09T00:00:00,A plazo,SI,COSECHA 24/25,1,2110990254,Si
2025-05-10T10:32:14.46,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,TRIGO PAN,330.00,Cámara,,CÓRDOBA,NOETINGER,,,Rosario N/En destino,2025-12-01T00:00:00,2025-12-31T00:00:00,A plazo,SI,COSECHA 25/26,1,2110980259,Si
2025-05-10T10:32:11.34,2025-05-10T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,250.00,Cámara,,CÓRDOBA,PILAR,,,Rosario N/En destino,2025-05-10T00:00:00,2025-06-08T00:00:00,A plazo,SI,COSECHA 24/25,1,2110960258,Si
