fechaOperacion,fechaConcertacion,tipoOperacion,tipoModalidad,tipoOiv,grano,volumenTN,condicionCalidad,condicionCalidadAuxiliar,procedenciaProvincia,procedenciaLocalidad,simboloPrecioPorTN,precioTN,lugarEntrega,fechaEntregaDesde,fechaEntregaHasta,condicionPago,esDestinoFinal,cosecha,numeroOperacionInstancia,nroOperacion,esUltimaInstancia
2025-06-03T12:59:42.993,2025-05-09T00:00:00,Fijación,Compraventa,Fijar Precio/Prec. Cam.,MAIZ,250.00,Cámara,,SANTA FE,LUIS PALACIOS,$,205000.00,Rosario S/En destino,2025-05-09T00:00:00,2025-05-20T00:00:00,A plazo,SI,COSECHA 24/25,3,2118370255,Si
2025-06-03T12:59:42.853,2025-02-25T00:00:00,Fijación,Compraventa,Fijar Precio/Mercado Comprador,SOJA,1500.00,Fábrica,,SANTA FE,LUIS PALACIOS,$,325000.00,Rosario N/En destino,2025-04-01T00:00:00,2025-04-30T00:00:00,A plazo,SI,COSECHA 24/25,4,906230259,Si
2025-06-03T12:59:42.697,2025-01-30T00:00:00,Fijación,Compraventa,Fijar Precio/Prec. Cam.,TRIGO PAN,49.00,Art. 12,,CÓRDOBA,ARROYO CABRAL,$,235800.00,Zona 9/En destino,2025-01-30T00:00:00,2025-02-28T00:00:00,A plazo,SI,COSECHA 24/25,10,540960259,Si
2025-06-03T12:53:24.217,2025-06-03T00:00:00,Contrato,Compraventa,Precio Hecho,ACEITE SOJA,8.06,Crudo,,ENTRE RÍOS,NOGOYA,$,990000.00,Zona 13/En destino,2025-06-03T00:00:00,2025-06-03T00:00:00,A plazo,SI,,1,2701970252,Si
2025-06-03T12:48:46.337,2025-06-03T00:00:00,Contrato,Compraventa,Precio Hecho,SOJA,60.60,Otra,,ENTRE RÍOS,VILLA FONTANA,$,320000.00,Zona 13/En destino,2025-06-03T00:00:00,2025-06-03T00:00:00,A plazo,SI,COSECHA 24/25,1,2701900254,Si
2025-06-03T12:46:35.457,2025-06-03T00:00:00,Contrato,Compraventa,Precio Hecho,MAIZ,1937.28,Otra,,ENTRE RÍOS,VILLA FEDERAL,$,228000.00,Zona 13/En destino,2025-06-03T00:00:00,2025-06-03T00:00:00,A plazo,SI,COSECHA 23/24,1,2701850257,Si
2025-06-03T12:44:30.127,2025-06-03T00:00:00,Contrato,Compraventa,Precio Hecho,MAIZ,1837.46,Otra,,ENTRE RÍOS,VILLA FONTANA,$,228000.00,Zona 13/En destino,2025-06-03T00:00:00,2025-06-03T00:00:00,A plazo,SI,COSECHA 24/25,1,2701840251,Si
2025-06-03T12:39:35.843,2025-06-03T00:00:00,Contrato,Compraventa,Precio Hecho,TRIGO PAN,180.00,Otra,,BUENOS AIRES,TANDIL,$,228000.00,Zona 4/En destino,2025-06-06T00:00:00,2025-06-09T00:00:00,A plazo,SI,COSECHA 24/25,1,2701790254,Si
2025-06-03T12:37:19.683,2024-12-02T00:00:00,Fijación,Canje,Fijar Precio/Otros,SOJA,50.00,Fábrica,,SANTA FE,ALCORTA DTO CONSTITU,U$S,272.25,Zona 12/En destino,2025-05-01T00:00:00,2025-05-31T00:00:00,A plazo,NO,COSECHA 24/25,4,5595770248,Si
2025-06-03T12:37:10.517,2024-12-02T00:00:00,Fijación,Canje,Fijar Precio/Otros,SOJA,440.00,Fábrica,,SANTA FE,BIGAND,U$S,272.25,Zona 12/En destino,2024-12-02T00:00:00,2025-04-30T00:00:00,A plazo,NO,COSECHA 24/25,5,5595910244,Si
2025-06-03T12:37:01.427,2024-12-02T00:00:00,Fijación,Canje,Fijar Precio/Otros,SOJA,530.00,Fábrica,,SANTA FE,CARRERAS,U$S,272.25,Zona 12/En destino,2025-05-01T00:00:00,2025-05-31T00:00:00,A plazo,NO,COSECHA 24/25,3,5595970247,Si
