fechaOperacion,fechaConcertacion,tipoOperacion,tipoModalidad,tipoOiv,grano,volumenTN,condicionCalidad,condicionCalidadAuxiliar,procedenciaProvincia,procedenciaLocalidad,simboloPrecioPorTN,precioTN,lugarEntrega,fechaEntregaDesde,fechaEntregaHasta,condicionPago,esDestinoFinal,cosecha,numeroOperacionInstancia,nroOperacion,esUltimaInstancia
2025-05-03T23:50:33.257,2025-05-03T00:00:00,Contrato,Compraventa,Fijar Precio/Mercado Comprador,MAIZ,1000.00,Cámara,,CÓRDOBA,GUATIMOZIN,,,Rosario N/En destino,2025-05-03T00:00:00,2025-05-07T00:00:00,A plazo,SI,COSECHA 24/25,1,1935460251,Si
2025-05-03T11:31:36.837,2025-05-03T00:00:00,Contrato,Compraventa,Precio Hecho,TRIGO PAN,283.31,Art. 12,,BUENOS AIRES,NAVARRO,$,229440.00,Zona 5/En destino,2025-05-03T00:00:00,2025-05-03T00:00:00,A plazo,SI,COSECHA 24/25,1,1935140257,Si
2025-05-03T09:00:36.66,2025-04-30T00:00:00,Contrato,Compraventa,Precio Hecho,SOJA,338.14,Fábrica,,CÓRDOBA,MONTE BUEY,$,297483.10,Zona 8/En destino,2025-04-30T00:00:00,2025-04-30T00:00:00,A plazo,SI,COSECHA 24/25,1,1935100255,Si
2025-05-03T08:59:09.52,2025-04-30T00:00:00,Contrato,Compraventa,Precio Hecho,SOJA,295.99,Fábrica,,CÓRDOBA,MONTE BUEY,$,297483.10,Zona 8/En destino,2025-04-30T00:00:00,2025-04-30T00:00:00,A plazo,SI,COSECHA 24/25,1,1935080254,Si
2025-05-02T23:50:47.7,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Mercado Comprador,MAIZ,540.00,Cámara,,CÓRDOBA,MARCOS JUAREZ,,,Rosario N/En destino,2025-05-02T00:00:00,2025-05-07T00:00:00,A plazo,SI,COSECHA 24/25,1,1935060253,Si
2025-05-02T23:50:40.5,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Mercado Comprador,MAIZ,1000.00,Cámara,,CÓRDOBA,GUATIMOZIN,,,Rosario N/En destino,2025-05-02T00:00:00,2025-05-07T00:00:00,A plazo,SI,COSECHA 24/25,1,1935040252,Si
2025-05-02T23:50:36.897,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Mercado Comprador,SOJA,1000.00,Fábrica,,BUENOS AIRES,PERGAMINO,,,Zona 6/En destino,2025-05-02T00:00:00,2025-05-20T00:00:00,A plazo,SI,COSECHA 24/25,1,1935030257,Si
2025-05-02T23:50:33.343,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Mercado Comprador,MAIZ,360.00,Cámara,,SANTA FE,CAFFERATA,,,Rosario N/En destino,2025-05-03T00:00:00,2025-05-07T00:00:00,A plazo,SI,COSECHA 24/25,1,1935020251,Si
2025-05-02T23:32:16.323,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,90.00,Cámara,,SALTA,ROSARIO DE LA FRONTE,,,Rosario N/En destino,2025-05-02T00:00:00,2025-06-01T00:00:00,A plazo,SI,COSECHA 24/25,1,1935000250,Si
2025-05-02T23:32:12.277,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,210.00,Cámara,,CÓRDOBA,RIO CUARTO,,,Rosario N/En destino,2025-05-02T00:00:00,2025-06-01T00:00:00,A plazo,SI,COSECHA 24/25,1,1934990257,Si
2025-05-02T23:32:07.78,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,390.72,Cámara,,BUENOS AIRES,CORONEL GRANADA,,,Zona 7/En origen ,2025-05-02T00:00:00,2025-06-01T00:00:00,A plazo,SI,COSECHA 24/25,1,1934980251,Si
2025-05-02T23:32:03.63,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,276.43,Cámara,,BUENOS AIRES,CORONEL GRANADA,,,Zona 7/En origen ,2025-05-02T00:00:00,2025-06-01T00:00:00,A plazo,SI,COSECHA 24/25,1,1934970256,Si
2025-05-02T23:31:59.453,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/Otros,SOJA,30.00,Cámara,,BUENOS AIRES,JUNIN,,,Zona 7/En origen ,2025-05-02T00:00:00,2025-06-01T00:00:00,A plazo,SI,COSECHA 24/25,1,1934960250,Si
2025-05-02T20:36:30.663,2025-05-02T00:00:00,Contrato,Compraventa,Precio Hecho,TRIGO PAN,30.00,Cámara,,BUENOS AIRES,LIMA,$,236000.00,Bs As/En destino,2025-05-02T00:00:00,2025-06-01T00:00:00,A plazo,SI,COSECHA 24/25,1,1932750259,Si
2025-05-02T19:36:36.387,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,153.18,Cámara,,CÓRDOBA,BALNEARIA,$,302000.00,Zona 8/En destino,2025-05-02T00:00:00,2025-05-02T00:00:00,A plazo,SI,COSECHA 24/25,1,1932380257,Si
2025-05-02T19:00:06.32,2025-05-02T00:00:00,Contrato,Compraventa,Precio Hecho,SOJA,300.00,Fábrica,,SANTA FE,AREQUITO,U$S,250.00,Rosario S/En destino,2025-05-02T00:00:00,2025-06-01T00:00:00,A plazo,SI,COSECHA 24/25,1,1932340255,Si
2025-05-02T19:00:05.453,2025-05-02T00:00:00,Contrato,Compraventa,Precio Hecho,MAIZ,120.00,Otra,,SANTA FE,VENADO TUERTO,U$S,195.00,Rosario S/En destino,2025-05-02T00:00:00,2025-06-01T00:00:00,A plazo,SI,COSECHA 24/25,1,1932320254,Si
2025-05-02T18:03:57.027,2025-05-02T00:00:00,Contrato,Compraventa,Precio Hecho,SOJA,19.64,Cámara,,ENTRE RÍOS,COLONIA SANTA LUISA,$,303000.00,Zona 18/En destino,2025-05-02T00:00:00,2025-05-02T00:00:00,A plazo,SI,COSECHA 24/25,1,1932050257,Si
2025-05-02T17:55:17.72,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,MAIZ,43.48,Cámara,,CÓRDOBA,ARROYO SANTANA,$,226548.58,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931830259,Si
2025-05-02T17:55:07.473,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,37.28,Cámara,,CÓRDOBA,VILLA ASCASUBI,$,307536.65,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931820253,Si
2025-05-02T17:55:05.483,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,8.40,Cámara,,CÓRDOBA,LAS PEÑAS SUD,$,307805.87,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931810258,Si
2025-05-02T17:55:01.65,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,36.36,Cámara,,CÓRDOBA,PAMPAYASTA SUD,$,307539.36,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931800252,Si
2025-05-02T17:55:00.107,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,10.55,Cámara,,CÓRDOBA,RIO CEBALLOS,$,307812.50,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931790257,Si
2025-05-02T17:54:58.073,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,13.44,Cámara,,CÓRDOBA,LAS PEÑAS SUD,$,306995.88,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931780251,Si
2025-05-02T17:54:24.777,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,4.76,Cámara,,CÓRDOBA,VILLA ASCASUBI,$,305334.25,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931770256,Si
2025-05-02T17:54:23.237,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,3.93,Cámara,,CÓRDOBA,VILLA ASCASUBI,$,305388.39,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931760250,Si
2025-05-02T17:54:21.59,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,4.68,Cámara,,CÓRDOBA,LAS BAJADAS,$,305379.74,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931730254,Si
2025-05-02T17:54:18.72,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,3.57,Cámara,,CÓRDOBA,VILLA ASCASUBI,$,305351.18,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931720259,Si
2025-05-02T17:54:17.26,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,6.03,Cámara,,CÓRDOBA,LOS POTREROS,$,305345.51,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931710253,Si
2025-05-02T17:54:15.343,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,5.73,Cámara,,CÓRDOBA,TANCACHA,$,305350.00,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 23/24,1,1931700258,Si
2025-05-02T17:54:13.753,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,11.76,Cámara,,CÓRDOBA,LOS POTREROS,$,305347.69,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931690252,Si
2025-05-02T17:54:11.887,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,3.97,Cámara,,CÓRDOBA,VILLA ASCASUBI,$,289038.40,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931680257,Si
2025-05-02T17:52:18.96,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,27.23,Cámara,,CÓRDOBA,SOCONCHO,$,356363.20,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931660256,Si
2025-05-02T17:52:17.02,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,27.17,Cámara,,CÓRDOBA,SOCONCHO,$,356363.20,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931650250,Si
2025-05-02T17:52:14.117,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,65.99,Cámara,,CÓRDOBA,VILLA ASCASUBI,$,345440.38,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931640255,Si
2025-05-02T17:52:12.437,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,3.82,Cámara,,CÓRDOBA,BARRIO EL LIBERTADOR,$,310283.29,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931620254,Si
2025-05-02T17:52:10.53,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,3.77,Cámara,,CÓRDOBA,VILLA ASCASUBI,$,310254.30,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931610259,Si
2025-05-02T17:52:08.41,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,11.87,Cámara,,CÓRDOBA,VILLA ASCASUBI,$,310287.76,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931600253,Si
2025-05-02T17:52:06.18,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,4.08,Cámara,,CÓRDOBA,SAN AGUSTIN,$,310303.98,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931590258,Si
2025-05-02T17:52:02.49,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,4.18,Cámara,,CÓRDOBA,ALTO DE FIERRO,$,310293.98,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931580252,Si
2025-05-02T17:52:00.59,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,4.03,Cámara,,CÓRDOBA,PAMPAYASTA NORTE,$,310258.50,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931570257,Si
2025-05-02T17:51:59.117,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,4.23,Cámara,,CÓRDOBA,ARROYO SANTANA,$,310294.83,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 23/24,1,1931560251,Si
2025-05-02T17:51:56.163,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,4.31,Cámara,,CÓRDOBA,ALTO DE FIERRO,$,310263.73,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931550256,Si
2025-05-02T17:51:51.147,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,3.98,Cámara,,CÓRDOBA,COLONIA ALMADA,$,310282.05,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931540250,Si
2025-05-02T17:51:49.477,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,38.98,Cámara,,CÓRDOBA,BARRIO EL LIBERTADOR,$,310275.30,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931530255,Si
2025-05-02T17:51:44.48,2025-05-02T00:00:00,Contrato,Canje,Precio Hecho,SOJA,71.62,Cámara,,CÓRDOBA,LAS PEÑAS SUD,$,318180.28,Zona 11/En destino,2025-05-02T00:00:00,2025-05-12T00:00:00,A plazo,NO,COSECHA 24/25,1,1931510254,Si
2025-05-02T17:50:10.97,2025-05-02T00:00:00,Contrato,Compraventa,Fijar Precio/M. T. País,SOJA,121.06,Cámara,,ENTRE RÍOS,MONTOYA (NOGOYA-DPTO,,,Zona 13/En destino,2025-05-02T00:00:00,2025-05-30T00:00:00,A plazo,SI,COSECHA 24/25,1,1931500259,Si
2025-05-02T17:39:08.477,2025-04-30T00:00:00,Contrato,Compraventa,Precio Hecho,GIRASOL,300.00,Cámara,,BUENOS AIRES,LOBOS,U$S,300.00,Bs As/En destino,2025-04-30T00:00:00,2025-05-25T00:00:00,A plazo,SI,COSECHA 24/25,1,1931480258,Si
